"PROPOSAL_ID","THREADNAME_USERS","EXECUTION_NUMBER","ELAPSED_MS_PER_EXEC","LATENCY_MS_PER_EXEC","IDLETIME_MS_PER_EXEC"
39,Single_Click_Operation_Proposal_39 39-2,3,33,33,0
39,Single_Click_Operation_Proposal_39 39-3,1,30,30,0
39,Single_Click_Operation_Proposal_39 39-3,2,29,29,0
39,Single_Click_Operation_Proposal_39 39-3,3,29,29,0
40,Single_Click_Operation_Proposal_40 40-1,1,31,31,0
40,Single_Click_Operation_Proposal_40 40-1,2,32,32,0
40,Single_Click_Operation_Proposal_40 40-1,3,31,31,0
40,Single_Click_Operation_Proposal_40 40-2,1,30,30,0
40,Single_Click_Operation_Proposal_40 40-2,2,31,31,0
40,Single_Click_Operation_Proposal_40 40-2,3,30,30,0
40,Single_Click_Operation_Proposal_40 40-3,1,29,29,0
40,Single_Click_Operation_Proposal_40 40-3,2,30,30,0
40,Single_Click_Operation_Proposal_40 40-3,3,30,30,0
41,Single_Click_Operation_Proposal_41 41-1,1,31,31,0
41,Single_Click_Operation_Proposal_41 41-1,2,29,29,0
41,Single_Click_Operation_Proposal_41 41-1,3,31,31,0
41,Single_Click_Operation_Proposal_41 41-2,1,30,30,0
41,Single_Click_Operation_Proposal_41 41-2,2,33,33,0
41,Single_Click_Operation_Proposal_41 41-2,3,32,32,0
41,Single_Click_Operation_Proposal_41 41-3,1,32,31,0
41,Single_Click_Operation_Proposal_41 41-3,2,37,37,0
41,Single_Click_Operation_Proposal_41 41-3,3,33,33,0
42,Single_Click_Operation_Proposal_42 42-1,1,33,33,0
42,Single_Click_Operation_Proposal_42 42-1,2,30,30,0
42,Single_Click_Operation_Proposal_42 42-1,3,30,30,0
42,Single_Click_Operation_Proposal_42 42-2,1,32,32,0
42,Single_Click_Operation_Proposal_42 42-2,2,31,31,0
42,Single_Click_Operation_Proposal_42 42-2,3,30,30,0
42,Single_Click_Operation_Proposal_42 42-3,1,29,29,0
42,Single_Click_Operation_Proposal_42 42-3,2,30,30,0
42,Single_Click_Operation_Proposal_42 42-3,3,33,33,0
43,Single_Click_Operation_Proposal_43 43-1,1,32,32,0
43,Single_Click_Operation_Proposal_43 43-1,2,31,31,0
43,Single_Click_Operation_Proposal_43 43-1,3,32,32,0
43,Single_Click_Operation_Proposal_43 43-2,1,31,31,0
43,Single_Click_Operation_Proposal_43 43-2,2,35,35,0
43,Single_Click_Operation_Proposal_43 43-2,3,33,33,0
43,Single_Click_Operation_Proposal_43 43-3,1,37,37,0
43,Single_Click_Operation_Proposal_43 43-3,2,32,32,0
43,Single_Click_Operation_Proposal_43 43-3,3,32,32,0
44,Single_Click_Operation_Proposal_44 44-1,1,35,35,0
44,Single_Click_Operation_Proposal_44 44-1,2,31,31,0
44,Single_Click_Operation_Proposal_44 44-1,3,31,31,0
44,Single_Click_Operation_Proposal_44 44-2,1,30,30,0
44,Single_Click_Operation_Proposal_44 44-2,2,32,32,0
44,Single_Click_Operation_Proposal_44 44-2,3,32,32,0
44,Single_Click_Operation_Proposal_44 44-3,1,30,30,0
44,Single_Click_Operation_Proposal_44 44-3,2,31,31,0
44,Single_Click_Operation_Proposal_44 44-3,3,30,30,0
45,Single_Click_Operation_Proposal_45 45-1,1,32,32,0
45,Single_Click_Operation_Proposal_45 45-1,2,37,37,0
45,Single_Click_Operation_Proposal_45 45-1,3,33,33,0
45,Single_Click_Operation_Proposal_45 45-2,1,30,30,0
45,Single_Click_Operation_Proposal_45 45-2,2,30,30,0
45,Single_Click_Operation_Proposal_45 45-2,3,31,31,0
45,Single_Click_Operation_Proposal_45 45-3,1,30,30,0
45,Single_Click_Operation_Proposal_45 45-3,2,30,30,0
45,Single_Click_Operation_Proposal_45 45-3,3,30,29,0
46,Single_Click_Operation_Proposal_46 46-1,1,30,30,0
46,Single_Click_Operation_Proposal_46 46-1,2,31,31,0
46,Single_Click_Operation_Proposal_46 46-1,3,34,34,0
46,Single_Click_Operation_Proposal_46 46-2,1,31,31,0
46,Single_Click_Operation_Proposal_46 46-2,2,31,31,0
46,Single_Click_Operation_Proposal_46 46-2,3,30,30,0
46,Single_Click_Operation_Proposal_46 46-3,1,32,32,0
46,Single_Click_Operation_Proposal_46 46-3,2,36,36,0
46,Single_Click_Operation_Proposal_46 46-3,3,31,31,0
47,Single_Click_Operation_Proposal_47 47-1,1,31,31,0
47,Single_Click_Operation_Proposal_47 47-1,2,32,32,0
47,Single_Click_Operation_Proposal_47 47-1,3,30,30,0
47,Single_Click_Operation_Proposal_47 47-2,1,31,31,0
47,Single_Click_Operation_Proposal_47 47-2,2,32,32,0
47,Single_Click_Operation_Proposal_47 47-2,3,30,30,0
47,Single_Click_Operation_Proposal_47 47-3,1,30,30,0
47,Single_Click_Operation_Proposal_47 47-3,2,33,33,0
47,Single_Click_Operation_Proposal_47 47-3,3,31,31,0
48,Single_Click_Operation_Proposal_48 48-1,1,31,31,0
48,Single_Click_Operation_Proposal_48 48-1,2,30,30,0
48,Single_Click_Operation_Proposal_48 48-1,3,32,32,0
48,Single_Click_Operation_Proposal_48 48-2,1,31,31,0
48,Single_Click_Operation_Proposal_48 48-2,2,33,33,0
48,Single_Click_Operation_Proposal_48 48-2,3,30,30,0
48,Single_Click_Operation_Proposal_48 48-3,1,31,31,0
48,Single_Click_Operation_Proposal_48 48-3,2,35,35,0
48,Single_Click_Operation_Proposal_48 48-3,3,28,28,0
49,Single_Click_Operation_Proposal_49 49-1,1,30,30,0
49,Single_Click_Operation_Proposal_49 49-1,2,29,29,0
49,Single_Click_Operation_Proposal_49 49-1,3,29,29,0
49,Single_Click_Operation_Proposal_49 49-2,1,36,36,0
49,Single_Click_Operation_Proposal_49 49-2,2,31,31,0
49,Single_Click_Operation_Proposal_49 49-2,3,29,29,0
49,Single_Click_Operation_Proposal_49 49-3,1,30,30,0
